year,bevoegdgezag,bestuur_key,onderwijstype,personen,personeninvastedienst,personenintijdeldienst,vrouwen,mannen,geslachtonbekend,personenjongerdan15jaar,personen1525jaar,personen2535jaar,personen3545jaar,personen4555jaar,personen5565jaar,personen65jaarenouder,leeftijdonbekend,personen005ftes,personen0508ftes,personenmeerdan08ftes,gemiddeldeleeftijd,gemiddeldeleeftijdvrouw,gemiddeldeleeftijdman,gemiddeldeftes
2011,10249,10249-2011,BAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,10249,10249-2012,BAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,10249,10249-2013,BAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,10249,10249-2014,BAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,10249,10249-2015,BAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,10249,10249-2016,BAO,20,18,2,18,2,0,0,1,18,1,0,0,0,0,2,18,0,28.55,28.72222222222222,27,.48
2017,10249,10249-2017,BAO,19,18,1,17,2,0,0,0,18,0,1,0,0,0,3,16,0,29.57894736842105,29.76470588235294,28,.5526315789473684
2011,11711,11711-2011,BAO,25,20,5,15,10,0,0,0,3,6,7,8,1,0,8,10,7,48.68,47.06666666666667,51.1,.5722313272685574
2012,11711,11711-2012,BAO,28,25,3,21,7,0,0,0,2,5,9,11,1,0,12,10,6,50.5,49.76190476190476,52.71428571428572,.5046107142857141
2013,11711,11711-2013,BAO,23,23,0,14,9,0,0,1,1,2,10,9,0,0,9,9,5,50.69565217391305,49.35714285714285,52.77777777777778,.5597521739130434
2014,11711,11711-2014,BAO,23,23,0,14,9,0,0,0,2,2,9,10,0,0,5,11,7,51.73913043478261,50.42857142857143,53.77777777777778,.6183652173913042
2015,11711,11711-2015,BAO,33,28,5,23,10,0,0,2,4,5,9,13,0,0,9,17,7,47.84848484848485,45.69565217391305,52.8,.5768939393939394
2016,11711,11711-2016,BAO,51,45,6,34,17,0,0,4,5,9,11,22,0,0,15,25,11,47.84313725490196,45.94117647058823,51.64705882352941,.5797588235294118
2017,11711,11711-2017,BAO,63,52,11,47,16,0,0,3,13,12,11,22,2,0,23,19,21,46.15873015873016,44.42553191489362,51.25,.5863190476190474
2011,13605,13605-2011,BAO,2,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,2,51,51,0,1.1
2012,13605,13605-2012,BAO,1,1,0,,,0,0,0,0,0,0,1,0,0,0,0,1,,,,1.1
2013,13605,13605-2013,BAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,13605,13605-2014,BAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,13605,13605-2015,BAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,13605,13605-2016,BAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,13605,13605-2017,BAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,13622,13622-2011,BAO,16,13,3,12,4,0,0,1,0,6,4,5,0,0,4,7,5,46.5625,43.66666666666666,55.25,.6145937499999999
2012,13622,13622-2012,BAO,3,0,3,3,0,0,0,1,0,1,1,0,0,0,3,0,0,35.66666666666666,35.66666666666666,0,.2256333333333334
2013,13622,13622-2013,BAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,13622,13622-2014,BAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,13622,13622-2015,BAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,13622,13622-2016,BAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,13622,13622-2017,BAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,13674,13674-2011,BAO,26,26,0,20,6,0,0,0,4,4,9,9,0,0,6,10,10,48.11538461538461,47.15,51.33333333333334,.6872692307692307
2012,13674,13674-2012,BAO,20,20,0,14,6,0,0,0,4,2,4,10,0,0,6,5,9,48.85,47.35714285714285,52.33333333333334,.6502000000000001
2013,13674,13674-2013,BAO,32,31,1,24,8,0,0,0,4,7,7,14,0,0,15,7,10,48.6875,47.08333333333334,53.5,.5664406249999999
2014,13674,13674-2014,BAO,30,27,3,22,8,0,0,0,5,5,8,12,0,0,9,9,12,48.63333333333333,47,53.125,.6714000000000002
2015,13674,13674-2015,BAO,34,30,4,20,14,0,0,3,1,5,9,16,0,0,8,9,17,49.58823529411765,48.2,51.57142857142857,.6942882352941178
2016,13674,13674-2016,BAO,28,25,3,18,10,0,0,1,5,5,5,12,0,0,7,7,14,48.28571428571429,45.44444444444444,53.4,.6926964285714287
2017,13674,13674-2017,BAO,31,29,2,19,12,0,0,0,5,9,7,10,0,0,5,12,14,47.83870967741935,46.78947368421053,49.5,.7038426776052125
2011,13682,13682-2011,BAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,13682,13682-2012,BAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,13682,13682-2013,BAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,13682,13682-2014,BAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,13682,13682-2015,BAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,13682,13682-2016,BAO,1,1,0,,,0,0,0,0,0,0,1,0,0,1,0,0,,,,.434
2017,13682,13682-2017,BAO,2,2,0,,,0,0,0,0,0,1,1,0,0,1,0,1,,,,.617
2011,13683,13683-2011,BAO,5,4,1,,,0,0,0,3,0,1,1,0,0,1,1,3,,,,.7798000000000001
2012,13683,13683-2012,BAO,5,5,0,,,0,0,0,0,1,3,1,0,0,2,0,3,,,,.7419399999999999
2013,13683,13683-2013,BAO,3,3,0,,,0,0,0,0,2,0,1,0,0,0,0,3,,,,1
2014,13683,13683-2014,BAO,3,3,0,3,0,0,0,0,1,0,1,1,0,0,0,0,3,45.33333333333334,45.33333333333334,0,1
2015,13683,13683-2015,BAO,3,3,0,,,0,0,0,1,0,2,0,0,0,0,0,3,,,,.9333333333333332
2016,13683,13683-2016,BAO,5,5,0,3,2,0,0,0,1,1,2,1,0,0,0,0,5,45,38.66666666666666,54.5,.9199999999999999
2017,13683,13683-2017,BAO,5,5,0,3,2,0,0,0,0,2,2,1,0,0,0,0,5,46,39.66666666666666,55.5,.9199999999999999
2011,20008,20008-2011,BAO,24,19,5,18,6,0,0,0,3,6,12,3,0,0,2,4,18,46.83333333333334,45.16666666666666,51.83333333333334,.8154958333333334
2012,20008,20008-2012,BAO,25,23,2,18,7,0,0,0,3,4,13,5,0,0,4,5,16,48,46.33333333333334,52.28571428571429,.752016
2013,20008,20008-2013,BAO,30,27,3,18,12,0,0,0,1,2,17,10,0,0,8,5,17,50.76666666666667,49,53.41666666666666,.69018
2014,20008,20008-2014,BAO,28,27,1,17,11,0,0,0,1,2,15,10,0,0,6,3,19,51.10714285714285,49.29411764705883,53.90909090909091,.7479964285714286
2015,20008,20008-2015,BAO,36,33,3,24,12,0,0,0,3,3,16,14,0,0,9,3,24,50.69444444444444,48.75,54.58333333333334,.7396444444444443
2016,20008,20008-2016,BAO,42,36,6,28,14,0,0,0,4,5,16,17,0,0,6,5,31,50.88095238095238,48.75,55.14285714285715,.8043714285714284
2017,20008,20008-2017,BAO,30,23,7,16,14,0,0,0,4,4,10,10,2,0,2,6,22,48.96666666666667,44.125,54.5,.8239799999999999
2011,20183,20183-2011,BAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,20183,20183-2012,BAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,20183,20183-2013,BAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,20183,20183-2014,BAO,2,2,0,2,0,0,0,0,0,0,1,1,0,0,2,0,0,52.5,52.5,0,.17785
2015,20183,20183-2015,BAO,2,2,0,2,0,0,0,0,0,0,1,1,0,0,2,0,0,53.5,53.5,0,.17785
2016,20183,20183-2016,BAO,2,2,0,2,0,0,0,0,0,0,1,1,0,0,2,0,0,54.5,54.5,0,.17785
2017,20183,20183-2017,BAO,2,2,0,2,0,0,0,0,0,0,1,1,0,0,2,0,0,55.5,55.5,0,.17785
2011,20603,20603-2011,BAO,44,37,7,39,5,0,0,13,5,6,14,6,0,0,26,13,5,39.06818181818182,36.82051282051282,56.6,.467259090909091
2012,20603,20603-2012,BAO,52,41,11,45,7,0,0,18,6,5,15,8,0,0,24,22,6,38.13461538461539,36.15555555555556,50.85714285714285,.5239750000000001
2013,20603,20603-2013,BAO,52,46,6,44,8,0,0,13,8,5,14,12,0,0,24,22,6,40.51923076923077,38.25,53,.5360230769230771
2014,20603,20603-2014,BAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,20603,20603-2015,BAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,20603,20603-2016,BAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,20603,20603-2017,BAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,20671,20671-2011,BAO,29,25,4,19,10,0,0,0,2,6,9,12,0,0,13,5,11,49.93103448275862,47.57894736842106,54.4,.6334827586206897
2012,20671,20671-2012,BAO,23,21,2,15,8,0,0,0,1,3,10,9,0,0,10,4,9,50.69565217391305,48.66666666666666,54.5,.615704347826087
2013,20671,20671-2013,BAO,21,19,2,13,8,0,0,0,2,3,8,8,0,0,8,5,8,50.28571428571429,46.15384615384615,57,.6001047619047618
2014,20671,20671-2014,BAO,25,21,4,15,10,0,0,0,1,3,12,9,0,0,12,4,9,51.88,48.2,57.4,.572108
2015,20671,20671-2015,BAO,20,19,1,14,6,0,0,0,1,2,10,7,0,0,10,4,6,51.35,48.71428571428572,57.5,.5562949999999999
2016,20671,20671-2016,BAO,23,18,5,15,8,0,0,0,1,3,10,9,0,0,14,5,4,51.56521739130435,49.4,55.625,.4378521739130435
2017,20671,20671-2017,BAO,23,20,3,17,6,0,0,0,1,5,10,7,0,0,14,5,4,50.39130434782609,48.8235294117647,54.83333333333334,.4230304347826086
2011,21464,21464-2011,BAO,5,4,1,,,0,0,0,0,0,2,2,1,0,2,1,2,,,,.6593399999999999
2012,21464,21464-2012,BAO,3,2,1,,,0,0,0,0,0,0,2,1,0,1,0,2,,,,.7200333333333333
2013,21464,21464-2013,BAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,21464,21464-2014,BAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,21464,21464-2015,BAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,21464,21464-2016,BAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,21464,21464-2017,BAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,21478,21478-2011,BAO,1,1,0,,,0,0,0,0,1,0,0,0,0,1,0,0,,,,.2364
2012,21478,21478-2012,BAO,21,20,1,18,3,0,0,1,7,5,4,4,0,0,6,4,11,39.66666666666666,38.5,46.66666666666666,.7952285714285714
2013,21478,21478-2013,BAO,1,1,0,,,0,0,0,0,1,0,0,0,0,1,0,0,,,,.2364
2014,21478,21478-2014,BAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,21478,21478-2015,BAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,21478,21478-2016,BAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,21478,21478-2017,BAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,22725,22725-2011,BAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,22725,22725-2012,BAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,22725,22725-2013,BAO,6,5,1,3,3,0,0,0,0,2,4,0,0,0,1,2,3,48.16666666666666,46,50.33333333333334,.7166666666666667
2014,22725,22725-2014,BAO,7,4,3,3,4,0,0,0,1,3,1,2,0,0,2,3,2,45.57142857142857,41.66666666666666,48.5,.5614714285714286
2015,22725,22725-2015,BAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,22725,22725-2016,BAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,22725,22725-2017,BAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,23961,23961-2011,BAO,5,5,0,2,3,0,0,0,0,0,3,2,0,0,2,1,2,53.8,48,57.66666666666666,.5767
2012,23961,23961-2012,BAO,5,5,0,2,3,0,0,0,0,0,3,2,0,0,2,0,3,54.8,49,58.66666666666666,.6557000000000001
2013,23961,23961-2013,BAO,11,11,0,3,8,0,0,0,0,1,3,7,0,0,1,0,10,55.09090909090909,52.66666666666666,56,.9145090909090908
2014,23961,23961-2014,BAO,11,11,0,4,7,0,0,0,0,2,3,6,0,0,1,0,10,54.90909090909091,51,57.14285714285715,.9066
