,ONDERWIJSSECTOR,JAAR,BEVOEGD_GEZAGNUMMER,BEVOEGD_GEZAGNAAM,POSTCODE_BEVOEGD_GEZAG,EENPITTER,AANTAL_LEERLINGEN,CATEGORIE_BESTUUROMVANG,AANTAL_GEWICHTLEERLINGEN,GEMIDDELD_LEERLINGGEWICHT,AANDEEL_APCG_LEERLINGEN,AANDEEL_LWOO_LEERLINGEN,AANTAL_VOLTIJDLEERLINGEN,AANTAL_DEELTIJDLEERLINGEN,AANTAL_LEERLINGEN_VBO_GROEN,AANTAL_BOL_LEERLINGEN,AANTAL_BOL_DEELTIJDLEERLINGEN,AANTAL_BBL_LEERLINGEN,AANDEEL_LEERLINGEN_RANDSTAD,OMVANG_FORMATIE_TOTAAL,OMVANG_FORMATIE_MANAGER,OMVANG_FORMATIE_OP,OMVANG_FORMATIE_LIO,OMVANG_FORMATIE_OOP_OBP,OMVANG_FORMATIE_ONBEKEND,LEERLING_LERAAR_RATIO,GEWOGEN_DEELNEMER_LERAAR_RATIO,OMVANG_FORMATIE_OP_LA,OMVANG_FORMATIE_OP_LB,OMVANG_FORMATIE_OP_LC,OMVANG_FORMATIE_OP_LD,OMVANG_FORMATIE_OP_LE,OMVANG_FORMATIE_OP_OVERIG,AANDEEL_FORMATIE_OP_LA,AANDEEL_FORMATIE_OP_LB,AANDEEL_FORMATIE_OP_LC,AANDEEL_FORMATIE_OP_LD,AANDEEL_FORMATIE_OP_LE,AANDEEL_FORMATIE_OP_OVERIG,STREEFPERCENTAGE_FORMATIE_OP_LA,STREEFPERCENTAGE_FORMATIE_OP_LB,STREEFPERCENTAGE_FORMATIE_OP_LC,STREEFPERCENTAGE_FORMATIE_OP_LD,STREEFPERCENTAGE_FORMATIE_OP_LE,STREEFPERCENTAGE_FORMATIE_OP_OVERIG,OMVANG_FORMATIE_OP_BRUTSAL,LOONSOM_OP_BRUTSAL,GEMIDDELDE_LOONSOM_OP_BRUTSAL,Bevoegd Gezag,Sector,Groepering,Naam,Jaar,ImmateriÃ«le vaste activa,MateriÃ«le vaste activa,FinanciÃ«le vaste activa,Totaal van vaste activa,Voorraden,Vorderingen,Effecten (kortlopend),Liquide middelen,Totaal van vlottende activa,Totaal van activa,Eigen vermogen,Voorzieningen,Langlopende schulden,Kortlopende schulden,Totaal van passiva
0,1,2014,30731,Stichting Islamitisch Primair Onderwijs Rijnmond (SIPOR),3034,0,1313,2,1806.2,1.4,0.0,0.0,0,0,0,0,0,0,,99.9,4.0,64.3,1.0,30.5,0.0,20.4,,52.3,12.0,0.0,0.0,0.0,0.0,81.3,18.7,0.0,0.0,0.0,0.0,58.0,40.0,2.0,0.0,0.0,0.0,64.32,189964.18,2953.41,30731,PO,BO3,SIPOR,2014,,719.217,,719.217,,487.422,,4.036.925,4.524.347,5.243.564,3.004.008,87.800,,2.151.757,5.243.565
1,1,2015,30731,Stichting Islamitisch Primair Onderwijs Rijnmond (SIPOR),3034,0,1502,2,2010.8,1.3,0.0,0.0,0,0,0,0,0,0,,111.0,4.0,74.7,1.9,30.5,0.0,20.1,,59.7,14.9,0.0,0.0,0.0,0.0,80.0,20.0,0.0,0.0,0.0,0.0,,,,,,,74.67,217928.95,2918.69,30731,PO,BO3,SIPOR,2015,,939.890,1.625,941.515,,394.653,,4.403.777,4.798.430,5.739.945,3.709.338,86.733,,1.943.874,5.739.945
2,1,2016,30731,Stichting Islamitisch Primair Onderwijs Rijnmond (SIPOR),3034,0,1684,2,2229.1,1.3,0.0,0.0,0,0,0,0,0,0,,127.6,5.0,81.1,0.0,41.5,0.0,20.8,,63.3,17.8,0.0,0.0,0.0,0.0,78.0,22.0,0.0,0.0,0.0,0.0,,,,,,,81.14,240702.63,2966.36,30731,PO,BO3,SIPOR,2016,,883.858,1.625,885.483,,401.002,,5.798.484,6.199.486,7.084.969,4.691.028,90.658,,2.303.284,7.084.970
3,2,2012,30742,Stichting Samenwerkingsschool,1784,0,272,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,73.8,4.9,44.8,0.0,24.1,0.0,6.1,,0.0,39.8,5.1,0.0,0.0,0.0,0.0,88.7,11.3,0.0,0.0,0.0,,,,,,,44.81,144935.3,3234.14,30742,PO,SPEC,Stichting Samenwerkingsschool,2012,,4.131.439,,4.131.439,,865.083,,2.541.858,3.406.941,7.538.380,4.728.247,439.616,1.360.000,1.010.517,7.538.380
4,3,2012,30742,Stichting Samenwerkingsschool,1784,1,201,1,0.0,0.0,23.9,0.0,0,0,0,0,0,0,0.0,31.4,2.0,19.0,0.0,10.4,0.0,10.6,,0.0,11.4,6.6,1.0,0.0,0.0,0.0,60.0,34.7,5.3,0.0,0.0,,,,,,,19.0,70116.2,3690.33,30742,PO,SPEC,Stichting Samenwerkingsschool,2012,,4.131.439,,4.131.439,,865.083,,2.541.858,3.406.941,7.538.380,4.728.247,439.616,1.360.000,1.010.517,7.538.380
5,2,2013,30742,Stichting Samenwerkingsschool,1784,0,269,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,64.0,4.9,37.8,0.0,21.2,0.0,7.1,,0.0,33.1,4.7,0.0,0.0,0.0,0.0,87.5,12.5,0.0,0.0,0.0,,,,,,,37.84,125041.57,3304.59,30742,PO,SPEC,Stichting Samenwerkingsschool,2013,,4.029.998,,4.029.998,,756.485,,3.080.324,3.836.809,7.866.807,5.032.170,485.574,1.303.334,1.045.729,7.866.807
6,3,2013,30742,Stichting Samenwerkingsschool,1784,1,201,1,0.0,0.0,19.9,0.0,0,0,0,0,0,0,0.0,30.5,1.0,19.6,0.0,9.9,0.0,10.3,,0.0,12.0,6.6,1.0,0.0,0.0,0.0,61.2,33.7,5.1,0.0,0.0,,,,,,,19.6,74271.4,3789.36,30742,PO,SPEC,Stichting Samenwerkingsschool,2013,,4.029.998,,4.029.998,,756.485,,3.080.324,3.836.809,7.866.807,5.032.170,485.574,1.303.334,1.045.729,7.866.807
7,2,2014,30742,Stichting Samenwerkingsschool,1784,0,258,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,65.8,5.9,36.6,0.0,23.3,0.0,7.0,,0.0,31.9,4.7,0.0,0.0,0.0,0.0,87.2,12.8,0.0,0.0,0.0,0.0,86.0,14.0,0.0,0.0,0.0,36.6,125280.4,3422.6,30742,PO,SPEC,Stichting Samenwerkingsschool,2014,,3.834.220,,3.834.220,,565.863,,3.901.819,4.467.682,8.301.902,5.452.902,622.912,1.246.667,979.421,8.301.902
8,3,2014,30742,Stichting Samenwerkingsschool,1784,1,174,1,0.0,0.0,16.1,0.0,0,0,0,0,0,0,0.0,28.0,1.0,17.1,0.0,9.9,0.0,10.2,,0.0,10.8,6.3,0.0,0.0,0.0,0.0,63.2,36.8,0.0,0.0,0.0,0.0,66.7,22.3,11.0,0.0,0.0,17.1,66568.9,3892.92,30742,PO,SPEC,Stichting Samenwerkingsschool,2014,,3.834.220,,3.834.220,,565.863,,3.901.819,4.467.682,8.301.902,5.452.902,622.912,1.246.667,979.421,8.301.902
9,2,2015,30742,Stichting Samenwerkingsschool,1784,0,260,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,54.4,4.0,31.5,0.0,19.0,0.0,8.3,,0.0,27.5,4.0,0.0,0.0,0.0,0.0,87.3,12.7,0.0,0.0,0.0,,,,,,,31.46,110071.14,3498.9,30742,PO,SPEC,Stichting Samenwerkingsschool,2015,,3.493.291,,3.493.291,,341.345,,4.461.400,4.802.745,8.296.036,5.635.541,413.609,0,2.246.886,8.296.036
10,3,2015,30742,Stichting Samenwerkingsschool,1784,1,167,1,0.0,0.0,14.4,0.0,0,0,0,0,0,0,0.0,26.3,1.0,14.9,0.0,10.4,0.0,11.2,,0.0,9.6,5.3,0.0,0.0,0.0,0.0,64.4,35.6,0.0,0.0,0.0,,,,,,,14.9,59927.2,4021.96,30742,PO,SPEC,Stichting Samenwerkingsschool,2015,,3.493.291,,3.493.291,,341.345,,4.461.400,4.802.745,8.296.036,5.635.541,413.609,0,2.246.886,8.296.036
