bevoegdgezag,year,bestuur_key,sector,groepering,naam,lonenensalarissen,socialelasten,pensioenlasten,lastenpersoneelnietinloondienst,personeelslasten,lonenensalarissentotaalpersoneel,socialelastentotaalpersoneel,pensioenlastentotaalpersoneel,lastenpersoneelnietinloondienstt,afschrijvingenopmateriãlevasteac,afschrijvingen,huurlasten,onderhoudslastenkleinonderhoud,lastenvoorenergieenwater,schoonmaakkosten,belastingenenheffingen,overigeoverigehuisvestingslasten,huisvestingslasten,administratieenbeheerslasten,inventarisenapparatuur,overigeoverigeoverigelasten,overigelasten,accountantshonorariainzakehetond,accountantshonoraria,bevoegd_gezagnaam,postcode_bevoegd_gezag,eenpitter,aantal_leerlingen,categorie_bestuuromvang,aantal_gewichtleerlingen,gemiddeld_leerlinggewicht,aandeel_apcg_leerlingen,aandeel_lwoo_leerlingen,aantal_voltijdleerlingen,aantal_deeltijdleerlingen,aantal_leerlingen_vbo_groen,aantal_bol_leerlingen,aantal_bol_deeltijdleerlingen,aantal_bbl_leerlingen,aandeel_leerlingen_randstad,omvang_formatie_totaal,omvang_formatie_manager,omvang_formatie_op,omvang_formatie_lio,omvang_formatie_oop_obp,omvang_formatie_onbekend,leerling_leraar_ratio,gewogen_deelnemer_leraar_ratio,omvang_formatie_op_la,omvang_formatie_op_lb,omvang_formatie_op_lc,omvang_formatie_op_ld,omvang_formatie_op_le,omvang_formatie_op_overig,aandeel_formatie_op_la,aandeel_formatie_op_lb,aandeel_formatie_op_lc,aandeel_formatie_op_ld,aandeel_formatie_op_le,aandeel_formatie_op_overig,streefpercentage_formatie_op_la,streefpercentage_formatie_op_lb,streefpercentage_formatie_op_lc,streefpercentage_formatie_op_ld,streefpercentage_formatie_op_le,streefpercentage_formatie_op_ove,omvang_formatie_op_brutsal,loonsom_op_brutsal,gemiddelde_loonsom_op_brutsal,solvabiliteiti,solvabiliteitii,rentabiliteit,liquiditeitcurrentratio,liquiditeitquickratio,weerstandsvermogenexclusiefmater,weerstandsvermogen,personeelslastenrijksbijdragen,personeelslastentotaalbatenplusf,personeelslastentotaallastenplus,voorzieningentotaalbatenplusfina,rijksbijdragentotaalbatenplusfin,overigeoverheidsbijdragenensubsi,huisvestingsratio,kapitalisatiefactor,algemenereservetotaalbatenplusfi,investeringeninventarisenapparat,nettowerkkapitaal,aantalinstellingen,variatieinlb,merge_bestuurs_kenmerk_fin
10249,2012,10249-2012,PO,BO6,Gemeente Emmen,16879192,4175785,3989065,510357,24287344,.69,.17,.16,.02,592906,592906,30603,504466,609297,644986,141373,11297,1942022,1805973,978564,1283357,4067894,,,Gemeente Emmen,7811,0,4717,3,5203,1.1,0,0,0,0,0,0,0,0,,314.10001,46.900002,254.60001,0,12.6,0,18.5,,235.2,18.799999,.60000002,0,0,0,92.400002,7.4000001,.2,0,0,0,,,,,,,254.60001,785562.25,3085.47,.6,.62,.03,.36,.36,.18,.27,.85000002,.76999998,.79000002,.0099999998,.89999998,.09,.06,.44,0,0,-.11,27,4.320087,matched (3)
10249,2013,10249-2013,PO,BO6,Gemeente Emmen,15940515,3954158,4019488,1294154,24510527,.64999998,.16,.16,.050000001,639300,639300,37860,715793,540478,654550,76824,14819,2040324,1839774,1073938,1225061,4138773,,,Gemeente Emmen,7811,0,4665,3,5128.7998,1.1,0,0,0,0,0,0,0,0,,299.70001,45.900002,240.8,0,12.9,0,19.4,,203.5,36.200001,1.1,0,0,0,84.5,15,.5,0,0,0,,,,,,,240.84,751942.63,3122.1101,.5600000000000001,.58,.03,.46,.46,.2,.29,.82999998,.75999999,.77999997,.0099999998,.92000002,.08,.07,.53,0,.02,-.12,27,4.0757031,matched (3)
10249,2014,10249-2014,PO,BO6,Gemeente Emmen,16041419,4168517,3377436,2637383,25898900,.62,.16,.13,.1,1008098,1008098,56064,917289,528758,656246,144269,121698,2424324,1981418,1109059,831327,3921804,21000,21000,Gemeente Emmen,7811,0,4652,3,5115.2002,1.1,0,0,0,0,0,0,0,0,,299.60001,44.900002,240,0,14.7,0,19.4,,187.60001,52.400002,0,0,0,0,78.199997,21.799999,0,0,0,0,58,40,2,0,0,0,239.99001,764129.75,3184.02,.55,.58,-.05,.83,.83,.16,.25,.88,.81999999,.77999997,.0099999998,.94,.06,.07,.46,0,.01,-.02,27,3.7916586,matched (3)
10249,2015,10249-2015,PO,BO6,Gemeente Emmen,16329610,2339160,3017001,3276637,26398464,.62,.090000004,.11,.12,628883,628883,93432,1772747,448288,675807,136171,5375,3131820,1754534,1033804,822176,3610514,29000,29000,Gemeente Emmen,7811,0,4593,3,5007.8999,1.1,0,0,0,0,0,0,0,0,,279.70001,42.299999,224.3,0,13.1,0,20.5,,169.60001,54.599998,0,0,0,0,75.599998,24.4,0,0,0,0,,,,,,,224.25999,734934.13,3277.1499,.53,.5600000000000001,-.02,.8100000000000001,.8100000000000001,.13,.22,.86000001,.79000002,.77999997,.0099999998,.92000002,.06,.09,.42,0,.01,-.02,27,3.4954791,matched (3)
10249,2016,10249-2016,PO,BO6,Gemeente Emmen,16957825,2467851,2835304,2347747,26029840,.64999998,.090000004,.11,.090000004,697727,697727,75728,1408561,488896,622357,135358,6562,2737462,1865105,1095820,353323,3314248,15000,15000,Gemeente Emmen,7811,0,4471,3,4876.8999,1.1,0,0,0,0,0,0,0,0,,284.39999,44.099998,227.7,0,12.7,0,19.6,,175.39999,52.200001,0,0,0,0,77.099998,22.9,0,0,0,0,,,,,,,227.67,771219.75,3387.51,.52,.54,.03,.84,.84,.16,.24,.81999999,.76999998,.79000002,.0099999998,.94,.05,.08,.47,0,.01,-.02,27,3.9001296,matched (3)
10426,2012,10426-2012,PO,BO5,Gemeente Hoogezand-Sappemeer,8562374,1705642,1188606,65034,11302899,.75999999,.15000001,.11,.0099999998,322511,322511,20264,145070,229505,266235,29359,56812,747245,477576,618937,57247,1153760,7438,7438,"Gemeente Hoogezand-Sappemeer, afdeling Schoolbestuur Openbaar Onderwijs",9603,1,71,1,73.400002,1,0,0,0,0,0,0,0,0,,5.4000001,.80000001,4.5999999,0,0,0,15.4,,3.8,.80000001,0,0,0,0,83.5,16.5,0,0,0,0,,,,,,,4.5999999,14406.74,3132.3101,.51,.55,-.02,1.01,1.01,-.01,.1,.97000003,.85000002,.83999997,.0099999998,.88,.05,.06,.19,0,.02,0,,0,matched (3)
10426,2013,10426-2013,PO,BO5,Gemeente Hoogezand-Sappemeer,8351068,1658854,1246494,46982,11007377,.75999999,.15000001,.11,0,254312,254312,20905,145566,219589,272215,32116,69482,759873,538445,544205,52818,1135468,11580,11580,"Gemeente Hoogezand-Sappemeer, afdeling Schoolbestuur Openbaar Onderwijs",9603,1,66,1,67.199997,1,0,0,0,0,0,0,0,0,,6.5,.80000001,5.6999998,0,0,0,11.7,,4.9000001,.80000001,0,0,0,0,86.599998,13.4,0,0,0,0,,,,,,,5.6599998,17286.199,3052,.53,.5600000000000001,.01,1.18,1.18,.01,.11,.94,.82999998,.83999997,.0099999998,.88,.05,.06,.2,.09,.02,.02,,0,matched (3)
10426,2014,10426-2014,PO,BO5,Gemeente Hoogezand-Sappemeer,7809098,1859863,1129367,137025,10701930,.73000002,.17,.11,.0099999998,256313,256313,54119,177406,228096,270150,33978,59457,823206,550329,548142,45176,1143647,20032,20032,"Gemeente Hoogezand-Sappemeer, afdeling Schoolbestuur Openbaar Onderwijs",9603,1,59,1,59.900002,1,0,0,0,0,0,0,0,0,,6.5,.80000001,5.6999998,0,0,0,10.4,,4.9000001,.80000001,0,0,0,0,86.599998,13.4,0,0,0,0,58,40,2,0,0,0,5.6599998,18569.17,3279.6101,.5600000000000001,.59,0,1.3,1.3,.02,.11,.94,.82999998,.82999998,.0099999998,.88999999,.09,.06,.19,.09,.01,.02,,0,matched (3)
10426,2015,10426-2015,PO,BO5,Gemeente Hoogezand-Sappemeer,7810578,1767229,988687,84371,11329980,.69,.16,.090000004,.0099999998,259146,259146,57770,169159,218597,299484,32589,61457,839056,826035,528556,50208,1434265,,,"Gemeente Hoogezand-Sappemeer, afdeling Schoolbestuur Openbaar Onderwijs",9603,1,53,1,53.900002,1,0,0,0,0,0,0,0,0,,5.8000002,.40000001,5.4000001,0,0,0,9.8000002,,4.5999999,.80000001,0,0,0,0,85.900002,14.1,0,0,0,0,,,,,,,5.3800001,18029.07,3350.5701,.52,.84,.02,4.23,4.23,.05,.12,.99000001,.80000001,.81999999,.07,.81,.17,.06,.22,.09,.01,.11,,0,matched (3)
10426,2016,10426-2016,PO,BO5,Gemeente Hoogezand-Sappemeer,6885022,1532785,787246,2491,9934570,.69,.15000001,.079999998,0,233409,233409,41548,164565,267080,286863,43094,81134,884284,208029,194,561495,1142879,52110,52110,"Gemeente Hoogezand-Sappemeer, afdeling Schoolbestuur Openbaar Onderwijs",9603,1,24,1,24.299999,1,0,0,0,0,0,0,0,0,,.60000002,0,.60000002,0,0,0,40,,.60000002,0,0,0,0,0,100,0,0,0,0,0,,,,,,,.60000002,1626,2710,.49,.63,.01,1.97,1.97,.07,.14,.87,.81,.81,.039999999,.93000001,.03,.07,.29,.1,.01,.1,,0,matched (3)
