Bgnum,Naam,LA,LB,LC,LD,LE,Rest,Leraren,Leerlingen,SolvabiliteitI.2016,SolvabiliteitII.2016,Rentabiliteit.2016,Liquiditeitcurrentratio.2016,Liquiditeitquickratio.2016,Weerstandsvermogenexclusiefmateriëlevasteactiva.2016,Weerstandsvermogen.2016,Personeelslastenrijksbijdragen.2016,Personeelslastentotaalbatenplusfinanciëlebaten.2016,Personeelslastentotaallastenplusfinanciëlelasten.2016,Voorzieningentotaalbatenplusfinanciëlebaten.2016,Rijksbijdragentotaalbatenplusfinanciëlebaten.2016,Huisvestingsratio.2016,Investeringenhuisvestingtotaalbatenplusfinanciëlebaten.2016,Kapitalisatiefactor.2016,Nettowerkkapitaal.2016
10249,Gemeente Emmen,75.00,25.00,0.00,0.00,0.00,0.00,222.20,4352.00,0.5161301292607340,0.5418662260317390,2.64,0.8414979063518220,0.8414979063518220,15.57,24.39,82.36,77.04,79.13,1.22,93.54,8.32,,0.4725876015257160,-1.87
10867,Gemeente Terschelling,75.50,24.50,0.00,0.00,0.00,0.00,11.80,185.00,0.5753343776826650,0.7861364568367980,-0.21,3.0875767710865900,3.0875767710865900,13.96,31.81,87.64,81.78,81.61,11.66,93.32,6.44,7.41,0.4691460109191700,24.69
10925,Gemeente Westerwolde,77.40,22.60,0.00,0.00,0.00,0.00,50.00,632.00,0.2574836827265590,0.2689693348256080,-0.40,0.8456052363063580,0.8456052363063580,8.01,13.99,106.21,85.50,85.15,0.62,80.50,4.08,,0.5434826553727460,-6.13
10928,Gemeente Vlieland,48.80,51.20,0.00,0.00,0.00,0.00,5.20,60.00,0.0000000000000000,0.0482734565748169,0.00,0.1124386132082390,0.1124386132082390,-10.28,0.00,95.08,81.32,81.32,0.48,85.53,5.15,,0.0984740810860382,-8.32
11711,Gemeente Noordenveld,69.70,30.30,0.00,0.00,0.00,0.00,103.70,1836.00,0.6652342937942080,0.6932634287922370,-0.47,0.3997901044546970,0.3997901044546970,21.90,35.07,87.67,83.15,82.76,1.48,94.84,5.67,,0.5271841660885980,-9.71
11764,Gemeente Eijsden-Margraten,78.50,21.50,0.00,0.00,0.00,0.00,5.20,62.00,0.5980794141892110,0.8109532628904420,3.58,4.9105066445182700,4.9105066445182700,29.89,33.38,76.54,75.22,78.01,11.88,98.27,10.73,,0.5580721480720290,41.26
13622,Stichting Openbaar Primair Onderwijs Haarlemmermeer,74.20,25.80,0.00,0.00,0.00,0.00,230.70,4457.00,0.6500017007877080,0.6967869690505230,1.31,2.3762546616600400,2.3762546616600400,12.74,21.60,83.81,80.98,82.06,1.55,96.62,7.66,,0.3299797793494180,13.87
13662,Stichting Openbaar Onderwijs Present,80.50,18.40,1.10,0.00,0.00,0.00,89.80,1540.00,0.6554353830756290,0.8671937836823840,-2.84,6.3851841878815900,6.3851841878815900,35.97,44.84,85.50,83.52,81.22,14.49,97.68,8.89,,0.6841809531722040,48.93
13674,Stichting Openbaar Onderwijs Groep,77.80,22.20,0.00,0.00,0.00,0.00,121.50,2476.00,0.7040505019309020,0.7321712965633740,0.38,2.0367381200548800,2.0367381200548800,11.22,30.31,85.84,82.20,82.51,1.21,95.75,6.92,1.64,0.3595039407844010,11.95
13682,Openbaar Primair Onderwijs Oegstgeest,63.40,36.60,0.00,0.00,0.00,0.00,62.90,1338.00,0.4110332795302940,0.6682071051353170,-2.85,1.9960530935276700,1.9960530935276700,2.30,12.66,86.04,84.43,82.09,7.92,98.13,7.60,,0.3081121769806620,10.18
