Bevoegd Gezag,Sector,Groepering,Naam,Jaar,Key,Lonen en salarissen,Sociale lasten,Pensioenlasten,Lasten personeel niet in loondienst,Personeelslasten,Lonen en salarissen/totaal personeel,Sociale lasten/totaal personeel,Pensioenlasten/totaal personeel,Lasten personeel niet in loondienst/totaal personeel,Afschrijvingen op materiÔle vaste activa,Afschrijvingen,Huurlasten,Onderhoudslasten (klein onderhoud),Lasten voor energie en water,Schoonmaakkosten,Belastingen en heffingen,Overige (overige huisvestingslasten),Huisvestingslasten,Administratie- en beheerslasten,Inventaris en apparatuur,Overige (overige overige lasten),Overige lasten,Accountantshonoraria inzake het onderzoek van de jaarrekening,Accountantshonoraria
10249,PO,BO6,Gemeente Emmen,2012,10249-2012,"16,879,192","4,175,785","3,989,065","510,357","24,287,344",0.69,0.17,0.16,0.02,"592,906","592,906","30,603","504,466","609,297","644,986","141,373","11,297","1,942,022","1,805,973","978,564","1,283,357","4,067,894",,
10249,PO,BO6,Gemeente Emmen,2013,10249-2013,"15,940,515","3,954,158","4,019,488","1,294,154","24,510,527",0.65,0.16,0.16,0.05,"639,300","639,300","37,860","715,793","540,478","654,550","76,824","14,819","2,040,324","1,839,774","1,073,938","1,225,061","4,138,773",,
10249,PO,BO6,Gemeente Emmen,2014,10249-2014,"16,041,419","4,168,517","3,377,436","2,637,383","25,898,900",0.62,0.16,0.13,0.10,"1,008,098","1,008,098","56,064","917,289","528,758","656,246","144,269","121,698","2,424,324","1,981,418","1,109,059","831,327","3,921,804","21,000","21,000"
10249,PO,BO6,Gemeente Emmen,2015,10249-2015,"16,329,610","2,339,160","3,017,001","3,276,637","26,398,464",0.62,0.09,0.11,0.12,"628,883","628,883","93,432","1,772,747","448,288","675,807","136,171","5,375","3,131,820","1,754,534","1,033,804","822,176","3,610,514","29,000","29,000"
10249,PO,BO6,Gemeente Emmen,2016,10249-2016,"16,957,825","2,467,851","2,835,304","2,347,747","26,029,840",0.65,0.09,0.11,0.09,"697,727","697,727","75,728","1,408,561","488,896","622,357","135,358","6,562","2,737,462","1,865,105","1,095,820","353,323","3,314,248","15,000","15,000"
10426,PO,BO5,Gemeente Hoogezand-Sappemeer,2012,10426-2012,"8,562,374","1,705,642","1,188,606","65,034","11,302,899",0.76,0.15,0.11,0.01,"322,511","322,511","20,264","145,070","229,505","266,235","29,359","56,812","747,245","477,576","618,937","57,247","1,153,760","7,438","7,438"
10426,PO,BO5,Gemeente Hoogezand-Sappemeer,2013,10426-2013,"8,351,068","1,658,854","1,246,494","46,982","11,007,377",0.76,0.15,0.11,0.00,"254,312","254,312","20,905","145,566","219,589","272,215","32,116","69,482","759,873","538,445","544,205","52,818","1,135,468","11,580","11,580"
10426,PO,BO5,Gemeente Hoogezand-Sappemeer,2014,10426-2014,"7,809,098","1,859,863","1,129,367","137,025","10,701,930",0.73,0.17,0.11,0.01,"256,313","256,313","54,119","177,406","228,096","270,150","33,978","59,457","823,206","550,329","548,142","45,176","1,143,647","20,032","20,032"
10426,PO,BO5,Gemeente Hoogezand-Sappemeer,2015,10426-2015,"7,810,578","1,767,229","988,687","84,371","11,329,980",0.69,0.16,0.09,0.01,"259,146","259,146","57,770","169,159","218,597","299,484","32,589","61,457","839,056","826,035","528,556","50,208","1,434,265",,
10426,PO,BO5,Gemeente Hoogezand-Sappemeer,2016,10426-2016,"6,885,022","1,532,785","787,246","2,491","9,934,570",0.69,0.15,0.08,0.00,"233,409","233,409","41,548","164,565","267,080","286,863","43,094","81,134","884,284","208,029",194,"561,495","1,142,879","52,110","52,110"
10867,PO,BO3,Gemeente Terschelling,2012,10867-2012,"1,875,333","316,657","255,711","20,548","2,613,634",0.72,0.12,0.10,0.01,"124,703","124,703",,"59,733","60,647","53,353","5,520","1,950","256,203","94,727","128,825","49,202","272,754",,
10867,PO,BO3,Gemeente Terschelling,2013,10867-2013,"1,748,427","293,968","268,233","13,041","2,569,260",0.68,0.11,0.10,0.01,"127,912","127,912",,"161,078","64,428","48,191","7,048","1,096","281,841","92,626","116,966","68,391","277,983",,
10867,PO,BO3,Gemeente Terschelling,2014,10867-2014,"1,753,533","322,462","260,758","69,847","2,475,562",0.71,0.13,0.11,0.03,"127,440","127,440",,"65,150","48,861","48,336","6,021","4,445","212,813","89,516","135,008","59,491","284,015",,
10867,PO,BO3,Gemeente Terschelling,2015,10867-2015,"1,866,078","329,096","235,399","71,108","2,537,752",0.74,0.13,0.09,0.03,"119,056","119,056",,"89,855","53,005","37,039","7,988","3,474","231,361","74,346","2,696","90,021","285,049",0,0
10867,PO,BO3,Gemeente Terschelling,2016,10867-2016,"1,980,136","342,968","235,927","57,879","2,665,518",0.74,0.13,0.09,0.02,"120,943","120,943",,"74,072","78,502","34,517","10,814","7,820","205,725","78,154",572,"91,588","273,367",0,0
10925,PO,BO4,Gemeente Westerwolde,2012,10925-2012,"2,832,120","592,960","380,902","47,405","3,809,307",0.74,0.16,0.10,0.01,"70,694","70,694",,"52,068","44,052","81,429","4,475","28,775","210,799","218,266","216,130","37,734","472,130","9,900","9,900"
10925,PO,BO4,Gemeente Westerwolde,2013,10925-2013,"2,816,602","579,730","410,197","74,606","3,803,641",0.74,0.15,0.11,0.02,"80,841","80,841",,"27,240","76,098","82,356","6,905","33,693","226,292","229,059","248,474","34,022","511,555",,
10925,PO,BO4,Gemeente Westerwolde,2014,10925-2014,"2,853,691","684,331","419,629",,"4,052,866",0.70,0.17,0.10,0.00,"78,860","78,860",,"68,695","40,029","50,856","7,136","52,382","219,098","64,016","201,890","225,941","491,847","16,253","16,253"
10925,PO,BO4,Gemeente Westerwolde,2015,10925-2015,"3,607,154","702,398","382,847",,"4,414,075",0.82,0.16,0.09,0.00,"78,234","78,234",,"55,401","45,801","48,563","6,154","12,838","168,757","73,601","194,423","199,460","467,484","38,097","38,097"
10925,PO,BO4,Gemeente Westerwolde,2016,10925-2016,"3,414,274","728,378","409,713","150,209","4,677,813",0.73,0.16,0.09,0.03,"105,991","105,991",,"145,380","27,376","33,349","1,117","16,778","224,000","33,674","230,751","203,295","467,720","9,341","9,341"
11711,PO,BO5,Gem Noordenveld,2012,11711-2012,"7,881,273","1,607,978","1,090,295","94,992","10,539,471",0.75,0.15,0.10,0.01,"326,527","326,527","23,321","216,243","225,739","282,308","26,368","7,260","781,239","177,746","546,293","263,470","987,509",,
11711,PO,BO5,Gem Noordenveld,2013,11711-2013,"8,014,735","1,429,460","1,167,091","110,140","10,729,843",0.75,0.13,0.11,0.01,"350,118","350,118","23,773","175,848","235,330","254,014","11,940","8,914","709,819","169,394","553,569","195,041","918,004",,
11711,PO,BO5,Gem Noordenveld,2014,11711-2014,"7,539,681","1,752,431","1,105,490","161,184","10,562,690",0.71,0.17,0.10,0.02,"322,774","322,774","23,811","321,300","276,748","255,859","10,590",,"888,308","158,494","540,008","263,683","962,185","15,600","15,600"
11711,PO,BO5,Gem Noordenveld,2015,11711-2015,"7,688,468","1,576,088","964,017","168,866","10,593,359",0.73,0.15,0.09,0.02,"325,385","325,385","23,583","217,206","179,675","254,261","14,617",,"689,342","146,567","510,709","294,923","952,199","15,946","15,946"
11711,PO,BO5,Gem Noordenveld,2016,11711-2016,"7,734,121","1,321,048","924,774","257,526","10,636,516",0.73,0.12,0.09,0.02,"316,449","316,449","23,840","218,722","179,884","285,421","21,465",,"729,332","159,622","568,124","438,232","1,165,978","16,156","16,156"
11764,PO,BO1,Gemeente Eijsden-Margraten,2012,11764-2012,"308,257",,,,"311,597",0.99,0.00,0.00,0.00,876,876,,"3,219","5,926","7,831",717,80,"19,273","20,329","13,140","17,123","50,592","2,075","2,075"
11764,PO,BO1,Gemeente Eijsden-Margraten,2013,11764-2013,"320,559",,,"2,881","332,393",0.96,0.00,0.00,0.01,"1,183","1,183",,"1,224","6,985","7,895",394,117,"16,615","24,036","23,571","9,735","57,342","4,308","4,308"
11764,PO,BO1,Gemeente Eijsden-Margraten,2014,11764-2014,"343,341",,,"3,051","342,202",1.00,0.00,0.00,0.01,"3,101","3,101",,"3,255","8,131","8,069",341,104,"23,828","19,455","21,601","9,498","50,554","3,086","3,086"
11764,PO,BO1,Gemeente Eijsden-Margraten,2015,11764-2015,"229,539","54,440","29,392","41,454","365,535",0.63,0.15,0.08,0.11,"3,087","3,087",,"16,712","6,794","8,444",361,-80,"34,681","20,513","6,876","18,972","57,279","5,233","5,233"
11764,PO,BO1,Gemeente Eijsden-Margraten,2016,11764-2016,"246,994","57,660","29,970","42,692","377,690",0.65,0.15,0.08,0.11,"4,395","4,395",,"2,350","6,667","8,710",573,0,"51,935","17,817","8,501","11,036","50,088","3,720","3,720"
13308,PO,BO1,Bestcom Gieterveen,2012,13308-2012,"364,136","76,524","49,678","4,545","500,765",0.73,0.15,0.10,0.01,"16,629","16,629",,"1,780","7,804","10,996",206,686,"23,472","19,957","31,114","11,747","62,818","6,000","6,000"
13308,PO,BO1,Bestcom Gieterveen,2013,13308-2013,"355,766","75,982","52,233","4,651","488,274",0.73,0.16,0.11,0.01,"19,201","19,201",,"1,230","9,647","10,598",215,"1,712","25,402","20,250","30,271","7,427","57,948","6,165","6,165"
13308,PO,BO1,Bestcom Gieterveen,2014,13308-2014,"358,473","85,697","51,377","6,839","515,923",0.69,0.17,0.10,0.01,"20,315","20,315",,"3,869","9,662","11,097",,,"26,628","17,400","28,960","9,720","56,080","6,000","6,000"
13308,PO,BO1,Bestcom Gieterveen,2015,13308-2015,"390,255","91,067","47,492","2,686","555,931",0.70,0.16,0.09,0.00,"20,165","20,165","1,714","9,817",,"12,610",159,198,"35,998","23,846","15,665","9,665","70,424","6,003","6,003"
13308,PO,BO1,Bestcom Gieterveen,2016,13308-2016,"362,290","84,767","43,015","19,217","507,551",0.71,0.17,0.08,0.04,"20,742","20,742","1,664","9,843",,"12,370",873,674,"25,424","14,464","6,943","17,313","53,524","6,000","6,000"
13622,PO,BO6,Stichting OPO Haarlemmermeer,2012,13622-2012,"19,977,743",,,"28,033","20,327,118",0.98,0.00,0.00,0.00,"341,145","341,145","41,796","117,922","380,897","474,350","71,135","309,126","1,681,026","1,303,042","1,077,914",,"2,380,956","60,500","60,500"
13622,PO,BO6,Stichting OPO Haarlemmermeer,2013,13622-2013,"14,505,564","3,158,607","2,209,001","31,506","19,952,447",0.73,0.16,0.11,0.00,"412,015","412,015","27,156","30,083","493,459","457,058","73,783","125,047","1,769,886","1,368,869","964,875",,"2,333,744",,
13622,PO,BO6,Stichting OPO Haarlemmermeer,2014,13622-2014,"15,585,429","3,445,023","2,123,248",,"20,114,129",0.77,0.17,0.11,0.00,"442,657","442,657","75,646","7,720","430,077","491,133","61,694","121,507","1,751,077","1,232,355","1,057,354",,"2,289,709",,
13622,PO,BO6,Stichting OPO Haarlemmermeer,2015,13622-2015,"14,012,009","3,364,167","1,850,787","82,976","20,019,492",0.70,0.17,0.09,0.00,"454,627","454,627","85,578","36,998","307,154","500,382","59,859","167,552","1,897,523","79,289",,"94,507","2,039,259","21,400","25,258"
13622,PO,BO6,Stichting OPO Haarlemmermeer,2016,13622-2016,"13,866,087","3,302,670","1,731,489","48,197","20,056,804",0.69,0.16,0.09,0.00,"505,881","505,881","83,100","44,618","303,499","486,310","70,012","129,057","1,856,596","79,991",,"160,008","2,021,829","29,125","31,485"
13662,PO,BO5,Stg. Openb. Onderwijs Present,2012,13662-2012,"6,443,391","707,745","805,951","621,127","8,293,288",0.78,0.09,0.10,0.07,"274,492","274,492",65,"78,148","209,048","274,632","31,810","24,432","880,433","175,187","532,519",,"707,706","15,173","15,173"
13662,PO,BO5,Stg. Openb. Onderwijs Present,2013,13662-2013,"6,087,944","709,054","818,907","764,771","8,205,181",0.74,0.09,0.10,0.09,"282,079","282,079",982,"75,860","208,346","257,110","32,212","22,697","855,407","197,058","506,629",,"703,687","15,000","15,000"
13662,PO,BO5,Stg. Openb. Onderwijs Present,2014,13662-2014,"6,048,480","724,664","790,822","871,238","8,275,722",0.73,0.09,0.10,0.11,"244,914","244,914","1,437","72,158","209,999","258,554","32,316","20,021","858,670","175,875","468,943",,"644,818","16,799","16,799"
