BEVOEGD_GEZAGNUMMER,JAAR,Key,BEVOEGD_GEZAGNAAM,POSTCODE_BEVOEGD_GEZAG,EENPITTER,AANTAL_LEERLINGEN,CATEGORIE_BESTUUROMVANG,AANTAL_GEWICHTLEERLINGEN,GEMIDDELD_LEERLINGGEWICHT,AANDEEL_APCG_LEERLINGEN,AANDEEL_LWOO_LEERLINGEN,AANTAL_VOLTIJDLEERLINGEN,AANTAL_DEELTIJDLEERLINGEN,AANTAL_LEERLINGEN_VBO_GROEN,AANTAL_BOL_LEERLINGEN,AANTAL_BOL_DEELTIJDLEERLINGEN,AANTAL_BBL_LEERLINGEN,AANDEEL_LEERLINGEN_RANDSTAD,OMVANG_FORMATIE_TOTAAL,OMVANG_FORMATIE_MANAGER,OMVANG_FORMATIE_OP,OMVANG_FORMATIE_LIO,OMVANG_FORMATIE_OOP_OBP,OMVANG_FORMATIE_ONBEKEND,LEERLING_LERAAR_RATIO,GEWOGEN_DEELNEMER_LERAAR_RATIO,OMVANG_FORMATIE_OP_LA,OMVANG_FORMATIE_OP_LB,OMVANG_FORMATIE_OP_LC,OMVANG_FORMATIE_OP_LD,OMVANG_FORMATIE_OP_LE,OMVANG_FORMATIE_OP_OVERIG,AANDEEL_FORMATIE_OP_LA,AANDEEL_FORMATIE_OP_LB,AANDEEL_FORMATIE_OP_LC,AANDEEL_FORMATIE_OP_LD,AANDEEL_FORMATIE_OP_LE,AANDEEL_FORMATIE_OP_OVERIG,STREEFPERCENTAGE_FORMATIE_OP_LA,STREEFPERCENTAGE_FORMATIE_OP_LB,STREEFPERCENTAGE_FORMATIE_OP_LC,STREEFPERCENTAGE_FORMATIE_OP_LD,STREEFPERCENTAGE_FORMATIE_OP_LE,STREEFPERCENTAGE_FORMATIE_OP_OVERIG,OMVANG_FORMATIE_OP_BRUTSAL,LOONSOM_OP_BRUTSAL,GEMIDDELDE_LOONSOM_OP_BRUTSAL,Solvabiliteit I(%),Solvabiliteit II(%),Rentabiliteit(%),Liquiditeit (current ratio)(%),Liquiditeit (quick ratio)(%),Weerstandsvermogen exclusief materi‘le vaste activa(%),Weerstandsvermogen(%),Personeelslasten / rijksbijdragen(%),Personeelslasten / totaal baten plus financi‘le baten(%),Personeelslasten / totaal lasten plus financi‘le lasten(%),Voorzieningen / totaal baten plus financi‘le baten(%),Rijksbijdragen / totaal baten plus financi‘le baten(%),Overige overheidsbijdragen en -subsidies / totaal baten plus financi‘le baten(%),Huisvestingsratio(%),Kapitalisatiefactor(%),Algemene reserve / totaal baten plus financi‘le baten,Investeringen inventaris en apparatuur / totaal baten plus financi‘le baten(%),Netto werkkapitaal(%),Aantal instellingen,Variatie in LB,Lonen en salarissen,Sociale lasten,Pensioenlasten,Lasten personeel niet in loondienst,Personeelslasten,Lonen en salarissen/totaal personeel,Sociale lasten/totaal personeel,Pensioenlasten/totaal personeel,Lasten personeel niet in loondienst/totaal personeel,Afschrijvingen op materiÔle vaste activa,Afschrijvingen,Huurlasten,Onderhoudslasten (klein onderhoud),Lasten voor energie en water,Schoonmaakkosten,Belastingen en heffingen,Overige (overige huisvestingslasten),Huisvestingslasten,Administratie- en beheerslasten,Inventaris en apparatuur,Overige (overige overige lasten),Overige lasten,Accountantshonoraria inzake het onderzoek van de jaarrekening,Accountantshonoraria
10249,2012,10249-2012,Gemeente Emmen,7811,0,4717,3,5203,1.1,0,0,0,0,0,0,0,0,,314.1,46.9,254.6,0,12.6,0,18.5,,235.2,18.8,0.6,0,0,0,92.4,7.4,0.2,0,0,0,,,,,,,254.6,785562.24,3085.47,0.6,0.62,0.03,0.36,0.36,0.18,0.27,0.85,0.77,0.79,0.01,0.9,0.09,0.06,0.44,0,0,-0.11,27,4.320087118,16879192,4175785,3989065,510357,24287344,0.69,0.17,0.16,0.02,592906,592906,30603,504466,609297,644986,141373,11297,1942022,1805973,978564,1283357,4067894,0,0
10249,2013,10249-2013,Gemeente Emmen,7811,0,4665,3,5128.8,1.1,0,0,0,0,0,0,0,0,,299.7,45.9,240.8,0,12.9,0,19.4,,203.5,36.2,1.1,0,0,0,84.5,15,0.5,0,0,0,,,,,,,240.84,751942.6,3122.11,0.56,0.58,0.03,0.46,0.46,0.2,0.29,0.83,0.76,0.78,0.01,0.92,0.08,0.07,0.53,0,0.02,-0.12,27,4.075702968,15940515,3954158,4019488,1294154,24510527,0.65,0.16,0.16,0.05,639300,639300,37860,715793,540478,654550,76824,14819,2040324,1839774,1073938,1225061,4138773,0,0
10249,2014,10249-2014,Gemeente Emmen,7811,0,4652,3,5115.2,1.1,0,0,0,0,0,0,0,0,,299.6,44.9,240,0,14.7,0,19.4,,187.6,52.4,0,0,0,0,78.2,21.8,0,0,0,0,58,40,2,0,0,0,239.99,764129.76,3184.02,0.55,0.58,-0.05,0.83,0.83,0.16,0.25,0.88,0.82,0.78,0.01,0.94,0.06,0.07,0.46,0,0.01,-0.02,27,3.791658592,16041419,4168517,3377436,2637383,25898900,0.62,0.16,0.13,0.1,1008098,1008098,56064,917289,528758,656246,144269,121698,2424324,1981418,1109059,831327,3921804,21000,21000
10249,2015,10249-2015,Gemeente Emmen,7811,0,4593,3,5007.9,1.1,0,0,0,0,0,0,0,0,,279.7,42.3,224.3,0,13.1,0,20.5,,169.6,54.6,0,0,0,0,75.6,24.4,0,0,0,0,,,,,,,224.26,734934.12,3277.15,0.53,0.56,-0.02,0.81,0.81,0.13,0.22,0.86,0.79,0.78,0.01,0.92,0.06,0.09,0.42,0,0.01,-0.02,27,3.495479135,16329610,2339160,3017001,3276637,26398464,0.62,0.09,0.11,0.12,628883,628883,93432,1772747,448288,675807,136171,5375,3131820,1754534,1033804,822176,3610514,29000,29000
10249,2016,10249-2016,Gemeente Emmen,7811,0,4471,3,4876.9,1.1,0,0,0,0,0,0,0,0,,284.4,44.1,227.7,0,12.7,0,19.6,,175.4,52.2,0,0,0,0,77.1,22.9,0,0,0,0,,,,,,,227.67,771219.74,3387.51,0.52,0.54,0.03,0.84,0.84,0.16,0.24,0.82,0.77,0.79,0.01,0.94,0.05,0.08,0.47,0,0.01,-0.02,27,3.900129466,16957825,2467851,2835304,2347747,26029840,0.65,0.09,0.11,0.09,697727,697727,75728,1408561,488896,622357,135358,6562,2737462,1865105,1095820,353323,3314248,15000,15000
10426,2012,10426-2012,"Gemeente Hoogezand-Sappemeer, afdeling Schoolbestuur Openbaar Onderwijs",9603,1,71,1,73.4,1,0,0,0,0,0,0,0,0,,5.4,0.8,4.6,0,0,0,15.4,,3.8,0.8,0,0,0,0,83.5,16.5,0,0,0,0,,,,,,,4.6,14406.74,3132.31,0.51,0.55,-0.02,1.01,1.01,-0.01,0.1,0.97,0.85,0.84,0.01,0.88,0.05,0.06,0.19,0,0.02,0,#N/A,0,8562374,1705642,1188606,65034,11302899,0.76,0.15,0.11,0.01,322511,322511,20264,145070,229505,266235,29359,56812,747245,477576,618937,57247,1153760,7438,7438
10426,2013,10426-2013,"Gemeente Hoogezand-Sappemeer, afdeling Schoolbestuur Openbaar Onderwijs",9603,1,66,1,67.2,1,0,0,0,0,0,0,0,0,,6.5,0.8,5.7,0,0,0,11.7,,4.9,0.8,0,0,0,0,86.6,13.4,0,0,0,0,,,,,,,5.66,17286.2,3052,0.53,0.56,0.01,1.18,1.18,0.01,0.11,0.94,0.83,0.84,0.01,0.88,0.05,0.06,0.2,0.09,0.02,0.02,#N/A,0,8351068,1658854,1246494,46982,11007377,0.76,0.15,0.11,0,254312,254312,20905,145566,219589,272215,32116,69482,759873,538445,544205,52818,1135468,11580,11580
10426,2014,10426-2014,"Gemeente Hoogezand-Sappemeer, afdeling Schoolbestuur Openbaar Onderwijs",9603,1,59,1,59.9,1,0,0,0,0,0,0,0,0,,6.5,0.8,5.7,0,0,0,10.4,,4.9,0.8,0,0,0,0,86.6,13.4,0,0,0,0,58,40,2,0,0,0,5.66,18569.17,3279.61,0.56,0.59,0,1.3,1.3,0.02,0.11,0.94,0.83,0.83,0.01,0.89,0.09,0.06,0.19,0.09,0.01,0.02,#N/A,0,7809098,1859863,1129367,137025,10701930,0.73,0.17,0.11,0.01,256313,256313,54119,177406,228096,270150,33978,59457,823206,550329,548142,45176,1143647,20032,20032
10426,2015,10426-2015,"Gemeente Hoogezand-Sappemeer, afdeling Schoolbestuur Openbaar Onderwijs",9603,1,53,1,53.9,1,0,0,0,0,0,0,0,0,,5.8,0.4,5.4,0,0,0,9.8,,4.6,0.8,0,0,0,0,85.9,14.1,0,0,0,0,,,,,,,5.38,18029.07,3350.57,0.52,0.84,0.02,4.23,4.23,0.05,0.12,0.99,0.8,0.82,0.07,0.81,0.17,0.06,0.22,0.09,0.01,0.11,#N/A,0,7810578,1767229,988687,84371,11329980,0.69,0.16,0.09,0.01,259146,259146,57770,169159,218597,299484,32589,61457,839056,826035,528556,50208,1434265,0,0
10426,2016,10426-2016,"Gemeente Hoogezand-Sappemeer, afdeling Schoolbestuur Openbaar Onderwijs",9603,1,24,1,24.3,1,0,0,0,0,0,0,0,0,,0.6,0,0.6,0,0,0,40,,0.6,0,0,0,0,0,100,0,0,0,0,0,,,,,,,0.6,1626,2710,0.49,0.63,0.01,1.97,1.97,0.07,0.14,0.87,0.81,0.81,0.04,0.93,0.03,0.07,0.29,0.1,0.01,0.1,#N/A,0,6885022,1532785,787246,2491,9934570,0.69,0.15,0.08,0,233409,233409,41548,164565,267080,286863,43094,81134,884284,208029,194,561495,1142879,52110,52110
