BEVOEGD_GEZAGNUMMER,JAAR,key,BEVOEGD_GEZAGNAAM,POSTCODE_BEVOEGD_GEZAG,EENPITTER,AANTAL_LEERLINGEN,CATEGORIE_BESTUUROMVANG,AANTAL_GEWICHTLEERLINGEN,GEMIDDELD_LEERLINGGEWICHT,AANDEEL_APCG_LEERLINGEN,AANDEEL_LWOO_LEERLINGEN,AANTAL_VOLTIJDLEERLINGEN,AANTAL_DEELTIJDLEERLINGEN,AANTAL_LEERLINGEN_VBO_GROEN,AANTAL_BOL_LEERLINGEN,AANTAL_BOL_DEELTIJDLEERLINGEN,AANTAL_BBL_LEERLINGEN,AANDEEL_LEERLINGEN_RANDSTAD,OMVANG_FORMATIE_TOTAAL,OMVANG_FORMATIE_MANAGER,OMVANG_FORMATIE_OP,OMVANG_FORMATIE_LIO,OMVANG_FORMATIE_OOP_OBP,OMVANG_FORMATIE_ONBEKEND,LEERLING_LERAAR_RATIO,GEWOGEN_DEELNEMER_LERAAR_RATIO,OMVANG_FORMATIE_OP_LA,OMVANG_FORMATIE_OP_LB,OMVANG_FORMATIE_OP_LC,OMVANG_FORMATIE_OP_LD,OMVANG_FORMATIE_OP_LE,OMVANG_FORMATIE_OP_OVERIG,AANDEEL_FORMATIE_OP_LA,AANDEEL_FORMATIE_OP_LB,AANDEEL_FORMATIE_OP_LC,AANDEEL_FORMATIE_OP_LD,AANDEEL_FORMATIE_OP_LE,AANDEEL_FORMATIE_OP_OVERIG,STREEFPERCENTAGE_FORMATIE_OP_LA,STREEFPERCENTAGE_FORMATIE_OP_LB,STREEFPERCENTAGE_FORMATIE_OP_LC,STREEFPERCENTAGE_FORMATIE_OP_LD,STREEFPERCENTAGE_FORMATIE_OP_LE,STREEFPERCENTAGE_FORMATIE_OP_OVERIG,OMVANG_FORMATIE_OP_BRUTSAL,LOONSOM_OP_BRUTSAL,GEMIDDELDE_LOONSOM_OP_BRUTSAL,Solvabiliteit I(%),Solvabiliteit II(%),Rentabiliteit(%),Liquiditeit (current ratio)(%),Liquiditeit (quick ratio)(%),Weerstandsvermogen exclusief materiÔle vaste activa(%),Weerstandsvermogen(%),Personeelslasten / rijksbijdragen(%),Personeelslasten / totaal baten plus financiÔle baten(%),Personeelslasten / totaal lasten plus financiÔle lasten(%),Voorzieningen / totaal baten plus financiÔle baten(%),Rijksbijdragen / totaal baten plus financiÔle baten(%),Overige overheidsbijdragen en -subsidies / totaal baten plus financiÔle baten(%),Huisvestingsratio(%),Kapitalisatiefactor(%),Algemene reserve / totaal baten plus financiÔle baten,Investeringen inventaris en apparatuur / totaal baten plus financiÔle baten(%),Netto werkkapitaal(%),Aantal instellingen,Variatie in LB
10249,2012,10249-2012,Gemeente Emmen,7811,0,4717,3,5203,1.1,0,0,0,0,0,0,0,0,,314.1,46.9,254.6,0,12.6,0,18.5,,235.2,18.8,0.6,0,0,0,92.4,7.4,0.2,0,0,0,,,,,,,254.6,785562.24,3085.47,0.6,0.62,0.03,0.36,0.36,0.18,0.27,0.85,0.77,0.79,0.01,0.9,0.09,0.06,0.44,0,0,-0.11,27,4.320087118
10249,2013,10249-2013,Gemeente Emmen,7811,0,4665,3,5128.8,1.1,0,0,0,0,0,0,0,0,,299.7,45.9,240.8,0,12.9,0,19.4,,203.5,36.2,1.1,0,0,0,84.5,15,0.5,0,0,0,,,,,,,240.84,751942.6,3122.11,0.56,0.58,0.03,0.46,0.46,0.2,0.29,0.83,0.76,0.78,0.01,0.92,0.08,0.07,0.53,0,0.02,-0.12,27,4.075702968
10249,2014,10249-2014,Gemeente Emmen,7811,0,4652,3,5115.2,1.1,0,0,0,0,0,0,0,0,,299.6,44.9,240,0,14.7,0,19.4,,187.6,52.4,0,0,0,0,78.2,21.8,0,0,0,0,58,40,2,0,0,0,239.99,764129.76,3184.02,0.55,0.58,-0.05,0.83,0.83,0.16,0.25,0.88,0.82,0.78,0.01,0.94,0.06,0.07,0.46,0,0.01,-0.02,27,3.791658592
10249,2015,10249-2015,Gemeente Emmen,7811,0,4593,3,5007.9,1.1,0,0,0,0,0,0,0,0,,279.7,42.3,224.3,0,13.1,0,20.5,,169.6,54.6,0,0,0,0,75.6,24.4,0,0,0,0,,,,,,,224.26,734934.12,3277.15,0.53,0.56,-0.02,0.81,0.81,0.13,0.22,0.86,0.79,0.78,0.01,0.92,0.06,0.09,0.42,0,0.01,-0.02,27,3.495479135
10249,2016,10249-2016,Gemeente Emmen,7811,0,4471,3,4876.9,1.1,0,0,0,0,0,0,0,0,,284.4,44.1,227.7,0,12.7,0,19.6,,175.4,52.2,0,0,0,0,77.1,22.9,0,0,0,0,,,,,,,227.67,771219.74,3387.51,0.52,0.54,0.03,0.84,0.84,0.16,0.24,0.82,0.77,0.79,0.01,0.94,0.05,0.08,0.47,0,0.01,-0.02,27,3.900129466
10867,2012,10867-2012,Gemeente Terschelling,8881,0,248,1,249.8,1,0,0,0,0,0,0,0,0,,17.9,3.7,12,0,2.1,0,20.6,,11.4,0.6,0,0,0,0,94.8,5.2,0,0,0,0,,,,,,,5.92,17471.21,2950.87,0.49,0.69,0.01,2.15,2.15,0.07,0.2,0.85,0.79,0.8,0.08,0.92,0.06,0.08,0.4,0.18,0.01,0.15,3,4.808326112
10867,2013,10867-2013,Gemeente Terschelling,8881,0,231,1,234.6,1,0,0,0,0,0,0,0,0,,18.2,4.5,11.5,0,2.1,0,20,,10.9,0.6,0,0,0,0,94.6,5.4,0,0,0,0,,,,,,,11.55,36406.74,3152.64,0.47,0.68,0.02,2.19,2.19,0.09,0.22,0.84,0.77,0.79,0.1,0.92,0.05,0.09,0.47,0.17,0.03,0.18,3,4.309292285
10867,2014,10867-2014,Gemeente Terschelling,8881,0,217,1,219.4,1,0,0,0,0,0,0,0,0,,18.4,3.5,12.8,0,2.1,0,17,,12.1,0.6,0,0,0,0,95.1,4.9,0,0,0,0,58,40,2,0,0,0,12.76,39837.31,3122.46,0.54,0.74,0.04,2.85,2.85,0.15,0.27,0.82,0.77,0.8,0.1,0.93,0.05,0.07,0.49,0.21,0,0.24,3,3.810511777
10867,2015,10867-2015,Gemeente Terschelling,8881,0,198,1,199.8,1,0,0,0,0,0,0,0,0,,18,3.5,12.4,0,2.1,0,16,,11.8,0.6,0,0,0,0,95,5,0,0,0,0,,,,,,,12.37,39650.51,3204.88,0.6,0.8,0.05,3.88,3.88,0.2,0.31,0.81,0.76,0.8,0.11,0.94,0.03,0.07,0.51,0.27,0.02,0.29,3,3.960113635
10867,2016,10867-2016,Gemeente Terschelling,8881,0,184,1,184.9,1,0,0,0,0,0,0,0,0,,18.5,3.5,12.4,0,2.6,0,14.8,,11.8,0.6,0,0,0,0,95,5,0,0,0,0,,,,,,,12.44,41742.69,3355.93,0.58,0.79,0,3.09,3.09,0.14,0.32,0.88,0.82,0.82,0.12,0.93,0.04,0.06,0.47,0.28,0.01,0.25,3,3.853461647
