RPA-code;RPA-indeling
1;Noord Groningen
2;Oost Groningen
3;Centraal Groningen
4;Friesland
5;Zuid- en Midden-Drenthe
6;IJssel en Vecht
7;Twente
8;Noordwest-Veluwe
9;Stedendriehoek
10;De Vallei
11;IJssel en Rijn
12;Achterhoek
13;Nijmegen
14;Rivierenland
15;Flevoland excl. Almere
16;Gooi & Vechtstreek
17;Eemland
18;Utrecht-Midden excl. Utrecht
19;Noord-Holland Noord
20;Zuidelijk Noord-Holland excl. Amsterdam
21;Rijn-Gouwe
22;Haaglanden excl. Den Haag
23;Rijnmond excl, Rotterdam
24;Zeeland
25;West Brabant
26;Midden Brabant
27;Noordoost Brabant
28;Zuidoost Brabant
29;Noord Limburg
30;Weert
31;Roermond
32;Westelijke Mijnstreek
33;Parkstad Limburg
34;Maastricht Mergelland
35;Amsterdam
36;Rotterdam
37;Den Haag
38;Utrecht
39;Almere
